x,y,distance,install_type,is_24h,has_restricted_hours
127.096446773,37.485128256,14514.795987,,False,False
127.061315383,37.644245654,11797.628804,기계식|,False,False
127.068611609,37.483863763,12355.650245,,False,False
127.047098716,37.494543252,10043.603665,,False,False
127.057506987,37.666651037,13177.362322,,False,False
127.057516879,37.664984732,13048.79566,기계식|,False,False
126.896456991,37.566669392,7827.856276,,False,False
126.894257429,37.556354635,8081.44204,기계식|,False,False
127.045653197,37.486662062,10506.876918,,False,False
127.046312792,37.486545167,10560.12227,,False,False
127.046552526,37.486649744,10568.724484,,False,False
127.077879227,37.611144394,11338.191112,수동식|,False,False
127.136855792,37.507941029,17162.625348,기계식|,False,False
127.088234427,37.619990714,12652.820564,기계식|,False,False
126.894878536,37.517157071,9262.290916,수동식|,False,False
127.099852846,37.466037671,15902.992019,,False,False
127.066038136,37.495146145,11447.751089,,False,False
127.083093574,37.485702704,13380.668554,,False,False
127.001811452,37.512246134,5856.033875,기계식|,False,False
127.105410419,37.475536471,15792.04809,,False,False
126.998129847,37.481382694,8602.10381,,False,False
127.002132149,37.525076021,4774.487386,수동식|,False,False
127.002140637,37.525076056,4774.972346,,False,False
126.920251106,37.500404245,8383.113309,수동식|,False,False
126.985746532,37.546266444,2102.27956,수동식|,False,False
126.985712572,37.546266296,2100.508894,,False,False
127.059231842,37.514202716,9818.965747,,False,False
127.059650504,37.514686504,9830.602777,,False,False
127.060355137,37.514646315,9893.570589,,False,False
127.060383386,37.51465318,9895.673138,기타|태양광 공기주입기|,False,False
127.060944434,37.514495276,9952.163825,,False,False
127.060348591,37.521066206,9587.883477,,False,False
127.091484051,37.617865754,12854.985282,수동식|,False,False
127.066286094,37.640798387,11943.158598,기계식|,False,False
126.98217833,37.47699071,8747.995234,,False,False
126.974691695,37.53585225,2829.775019,,False,False
126.974277754,37.535160874,2899.212859,수동식|,False,False
126.97427543,37.535088756,2906.42726,,False,False
126.973174424,37.534322207,2986.652619,수동식|,False,False
126.973149148,37.534295054,2989.494036,,False,False
